#t, I, Q
0.000000, 0.000000, 10.000000
0.100000, -0.331667, 9.983333
0.200000, -0.658928, 9.933694
0.300000, -0.980741, 9.851574
0.400000, -1.296092, 9.737571
0.500000, -1.603998, 9.592381
0.600000, -1.903512, 9.416796
0.700000, -2.193724, 9.211702
0.800000, -2.473761, 8.978073
0.900000, -2.742797, 8.716970
1.000000, -3.000048, 8.429534
1.100000, -3.244777, 8.116980
1.200000, -3.476296, 7.780596
1.300000, -3.693970, 7.421737
1.400000, -3.897213, 7.041818
1.500000, -4.085494, 6.642309
1.600000, -4.258337, 6.224731
1.700000, -4.415323, 5.790652
1.800000, -4.556088, 5.341677
1.900000, -4.680327, 4.879443
2.000000, -4.787792, 4.405618
2.100000, -4.878294, 3.921890
2.200000, -4.951700, 3.429963
2.300000, -5.007939, 2.931553
2.400000, -5.046993, 2.428377
2.500000, -5.068905, 1.922154
2.600000, -5.073772, 1.414594
2.700000, -5.061749, 0.907396
2.800000, -5.033044, 0.402240
2.900000, -4.987918, -0.099219
3.000000, -4.926684, -0.595351
3.100000, -4.849707, -1.084564
3.200000, -4.757398, -1.565302
3.300000, -4.650217, -2.036054
3.400000, -4.528668, -2.495358
3.500000, -4.393297, -2.941801
3.600000, -4.244692, -3.374031
3.700000, -4.083477, -3.790755
3.800000, -3.910314, -4.190743
3.900000, -3.725896, -4.572834
4.000000, -3.530948, -4.935940
4.100000, -3.326222, -5.279042
4.200000, -3.112494, -5.601203
4.300000, -2.890564, -5.901561
4.400000, -2.661250, -6.179336
4.500000, -2.425387, -6.433832
4.600000, -2.183824, -6.664434
4.700000, -1.937418, -6.870618
4.800000, -1.687036, -7.051940
4.900000, -1.433549, -7.208046
5.000000, -1.177829, -7.338671
5.100000, -0.920747, -7.443634
5.200000, -0.663171, -7.522842
5.300000, -0.405959, -7.576290
5.400000, -0.149963, -7.604055
5.500000, 0.103980, -7.606303
5.600000, 0.355048, -7.583280
5.700000, 0.602436, -7.535314
5.800000, 0.845359, -7.462813
5.900000, 1.083055, -7.366262
6.000000, 1.314788, -7.246221
6.100000, 1.539847, -7.103322
6.200000, 1.757553, -6.938268
6.300000, 1.967255, -6.751828
6.400000, 2.168338, -6.544833
6.500000, 2.360219, -6.318176
6.600000, 2.542354, -6.072803
6.700000, 2.714235, -5.809718
6.800000, 2.875394, -5.529969
6.900000, 3.025402, -5.234650
7.000000, 3.163873, -4.924898
7.100000, 3.290462, -4.601885
7.200000, 3.404867, -4.266814
7.300000, 3.506829, -3.920918
7.400000, 3.596136, -3.565454
7.500000, 3.672615, -3.201696
7.600000, 3.736141, -2.830935
7.700000, 3.786632, -2.454471
7.800000, 3.824051, -2.073610
7.900000, 3.848403, -1.689661
8.000000, 3.859737, -1.303929
8.100000, 3.858147, -0.917712
8.200000, 3.843766, -0.532296
8.300000, 3.816768, -0.148955
8.400000, 3.777371, 0.231062
8.500000, 3.725827, 0.606525
8.600000, 3.662428, 0.976234
8.700000, 3.587505, 1.339019
8.800000, 3.501419, 1.693744
8.900000, 3.404569, 2.039312
9.000000, 3.297382, 2.374668
9.100000, 3.180317, 2.698800
9.200000, 3.053862, 3.010743
9.300000, 2.918530, 3.309585
9.400000, 2.774859, 3.594462
9.500000, 2.623408, 3.864570
9.600000, 2.464758, 4.119158
9.700000, 2.299507, 4.357536
9.800000, 2.128269, 4.579075
9.900000, 1.951673, 4.783206
10.000000, 1.770358, 4.969425
10.100000, 1.584973, 5.137293
10.200000, 1.396174, 5.286436
10.300000, 1.204622, 5.416545
10.400000, 1.010980, 5.527377
10.500000, 0.815911, 5.618757
10.600000, 0.620077, 5.690576
10.700000, 0.424136, 5.742789
10.800000, 0.228740, 5.775419
10.900000, 0.034532, 5.788553
11.000000, -0.157857, 5.782342
11.100000, -0.347804, 5.756998
11.200000, -0.534704, 5.712796
11.300000, -0.717967, 5.650072
11.400000, -0.897021, 5.569217
11.500000, -1.071312, 5.470682
11.600000, -1.240312, 5.354968
11.700000, -1.403510, 5.222632
11.800000, -1.560423, 5.074279
11.900000, -1.710593, 4.910559
12.000000, -1.853589, 4.732171
12.100000, -1.989006, 4.539852
12.200000, -2.116473, 4.334380
12.300000, -2.235643, 4.116567
12.400000, -2.346205, 3.887259
12.500000, -2.447877, 3.647333
12.600000, -2.540411, 3.397690
12.700000, -2.623590, 3.139257
12.800000, -2.697231, 2.872977
12.900000, -2.761186, 2.599814
13.000000, -2.815337, 2.320743
13.100000, -2.859604, 2.036749
13.200000, -2.893937, 1.748824
13.300000, -2.918321, 1.457963
13.400000, -2.932776, 1.165160
13.500000, -2.937351, 0.871407
13.600000, -2.932131, 0.577688
13.700000, -2.917229, 0.284978
13.800000, -2.892793, -0.005761
13.900000, -2.858997, -0.293584
14.000000, -2.816048, -0.577565
14.100000, -2.764179, -0.856799
14.200000, -2.703651, -1.130407
14.300000, -2.634752, -1.397536
14.400000, -2.557793, -1.657365
14.500000, -2.473111, -1.909103
14.600000, -2.381063, -2.151996
14.700000, -2.282028, -2.385325
14.800000, -2.176406, -2.608411
14.900000, -2.064611, -2.820616
15.000000, -1.947076, -3.021344
15.100000, -1.824250, -3.210042
15.200000, -1.696592, -3.386205
15.300000, -1.564574, -3.549372
15.400000, -1.428678, -3.699132
15.500000, -1.289394, -3.835120
15.600000, -1.147217, -3.957023
15.700000, -1.002649, -4.064576
15.800000, -0.856193, -4.157565
15.900000, -0.708354, -4.235827
16.000000, -0.559637, -4.299249
16.100000, -0.410544, -4.347767
16.200000, -0.261574, -4.381370
16.300000, -0.113220, -4.400094
16.400000, 0.034031, -4.404026
16.500000, 0.179703, -4.393300
16.600000, 0.323327, -4.368098
16.700000, 0.464446, -4.328646
16.800000, 0.602617, -4.275220
16.900000, 0.737412, -4.208134
17.000000, 0.868415, -4.127748
17.100000, 0.995231, -4.034461
17.200000, 1.117479, -3.928711
17.300000, 1.234800, -3.810974
17.400000, 1.346853, -3.681760
